No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,datetime,season
1,2013,3,1,0,4.0,4.0,4.0,7.0,300.0,77.0,-0.7,1023.0,-18.8,0.0,NNW,4.4,Aotizhongxin,2013-03-01 00:00:00,Spring
2,2013,3,1,1,8.0,8.0,4.0,7.0,300.0,77.0,-1.1,1023.2,-18.2,0.0,N,4.7,Aotizhongxin,2013-03-01 01:00:00,Spring
3,2013,3,1,2,7.0,7.0,5.0,10.0,300.0,73.0,-1.1,1023.5,-18.2,0.0,NNW,5.6,Aotizhongxin,2013-03-01 02:00:00,Spring
4,2013,3,1,3,6.0,6.0,11.0,11.0,300.0,72.0,-1.4,1024.5,-19.4,0.0,NW,3.1,Aotizhongxin,2013-03-01 03:00:00,Spring
5,2013,3,1,4,3.0,3.0,12.0,12.0,300.0,72.0,-2.0,1025.2,-19.5,0.0,N,2.0,Aotizhongxin,2013-03-01 04:00:00,Spring
6,2013,3,1,5,5.0,5.0,18.0,18.0,400.0,66.0,-2.2,1025.6,-19.6,0.0,N,3.7,Aotizhongxin,2013-03-01 05:00:00,Spring
7,2013,3,1,6,3.0,3.0,18.0,32.0,500.0,50.0,-2.6,1026.5,-19.1,0.0,NNE,2.5,Aotizhongxin,2013-03-01 06:00:00,Spring
8,2013,3,1,7,3.0,6.0,19.0,41.0,500.0,43.0,-1.6,1027.4,-19.1,0.0,NNW,3.8,Aotizhongxin,2013-03-01 07:00:00,Spring
9,2013,3,1,8,3.0,6.0,16.0,43.0,500.0,45.0,0.1,1028.3,-19.2,0.0,NNW,4.1,Aotizhongxin,2013-03-01 08:00:00,Spring
10,2013,3,1,9,3.0,8.0,12.0,28.0,400.0,59.0,1.2,1028.5,-19.3,0.0,N,2.6,Aotizhongxin,2013-03-01 09:00:00,Spring
11,2013,3,1,10,3.0,6.0,9.0,12.0,400.0,72.0,1.9,1028.2,-19.4,0.0,NNW,3.6,Aotizhongxin,2013-03-01 10:00:00,Spring
12,2013,3,1,11,3.0,6.0,9.0,14.0,400.0,71.0,2.9,1028.2,-20.5,0.0,N,3.7,Aotizhongxin,2013-03-01 11:00:00,Spring
13,2013,3,1,12,3.0,6.0,7.0,13.0,300.0,74.0,3.9,1027.3,-19.7,0.0,NNW,5.1,Aotizhongxin,2013-03-01 12:00:00,Spring
14,2013,3,1,13,3.0,6.0,7.0,12.0,400.0,76.0,5.3,1026.2,-19.3,0.0,NW,4.3,Aotizhongxin,2013-03-01 13:00:00,Spring
15,2013,3,1,14,6.0,9.0,7.0,11.0,400.0,77.0,6.0,1025.9,-19.6,0.0,NW,4.4,Aotizhongxin,2013-03-01 14:00:00,Spring
16,2013,3,1,15,8.0,15.0,7.0,14.0,400.0,76.0,6.2,1025.7,-18.6,0.0,NNE,2.8,Aotizhongxin,2013-03-01 15:00:00,Spring
17,2013,3,1,16,9.0,19.0,9.0,13.0,400.0,76.0,5.9,1025.6,-18.1,0.0,NNW,3.9,Aotizhongxin,2013-03-01 16:00:00,Spring
18,2013,3,1,17,10.0,23.0,11.0,15.0,400.0,74.0,4.3,1026.3,-18.7,0.0,NNE,2.8,Aotizhongxin,2013-03-01 17:00:00,Spring
19,2013,3,1,18,11.0,20.0,8.0,20.0,500.0,70.0,3.1,1027.4,-18.4,0.0,NNE,2.1,Aotizhongxin,2013-03-01 18:00:00,Spring
20,2013,3,1,19,8.0,14.0,12.0,30.0,500.0,60.0,2.3,1028.3,-18.4,0.0,N,2.8,Aotizhongxin,2013-03-01 19:00:00,Spring
21,2013,3,1,20,11.0,17.0,13.0,33.0,600.0,55.0,1.7,1029.1,-17.3,0.0,N,2.1,Aotizhongxin,2013-03-01 20:00:00,Spring
22,2013,3,1,21,12.0,18.0,16.0,35.0,500.0,50.0,0.6,1030.1,-16.7,0.0,ENE,0.8,Aotizhongxin,2013-03-01 21:00:00,Spring
23,2013,3,1,22,15.0,19.0,21.0,57.0,700.0,32.0,0.9,1030.5,-17.4,0.0,ENE,1.8,Aotizhongxin,2013-03-01 22:00:00,Spring
24,2013,3,1,23,24.0,24.0,26.0,54.0,600.0,36.0,-0.2,1030.5,-17.4,0.0,ENE,1.4,Aotizhongxin,2013-03-01 23:00:00,Spring
25,2013,3,2,0,22.0,24.0,24.0,44.0,500.0,44.0,-0.4,1031.0,-17.6,0.0,ENE,1.4,Aotizhongxin,2013-03-02 00:00:00,Spring
26,2013,3,2,1,14.0,17.0,21.0,36.0,400.0,50.0,-1.0,1031.3,-17.3,0.0,NNE,1.1,Aotizhongxin,2013-03-02 01:00:00,Spring
27,2013,3,2,2,13.0,13.0,20.0,37.0,400.0,47.0,-1.5,1030.9,-16.9,0.0,E,1.7,Aotizhongxin,2013-03-02 02:00:00,Spring
28,2013,3,2,3,3.0,9.0,13.0,34.0,400.0,52.0,-1.4,1030.6,-17.6,0.0,NNE,1.4,Aotizhongxin,2013-03-02 03:00:00,Spring
29,2013,3,2,4,3.0,7.0,18.0,43.0,400.0,43.0,-1.5,1030.8,-17.7,0.0,NNW,0.9,Aotizhongxin,2013-03-02 04:00:00,Spring
30,2013,3,2,5,9.0,11.0,19.0,70.0,500.0,20.0,-1.8,1030.1,-17.5,0.0,NNE,2.0,Aotizhongxin,2013-03-02 05:00:00,Spring
31,2013,3,2,6,4.0,10.0,28.0,46.0,500.0,39.0,-2.5,1029.6,-17.7,0.0,NW,0.7,Aotizhongxin,2013-03-02 06:00:00,Spring
32,2013,3,2,7,3.0,11.0,34.0,58.0,500.0,27.0,-1.7,1029.8,-17.0,0.0,NE,1.2,Aotizhongxin,2013-03-02 07:00:00,Spring
33,2013,3,2,8,3.0,7.0,21.0,49.0,500.0,43.0,-0.4,1029.6,-17.6,0.0,NE,1.8,Aotizhongxin,2013-03-02 08:00:00,Spring
34,2013,3,2,9,10.0,14.0,47.0,62.0,700.0,29.0,0.6,1029.7,-16.7,0.0,NE,1.7,Aotizhongxin,2013-03-02 09:00:00,Spring
35,2013,3,2,10,11.0,19.0,36.0,60.0,600.0,34.0,1.7,1028.9,-16.3,0.0,W,1.6,Aotizhongxin,2013-03-02 10:00:00,Spring
36,2013,3,2,11,18.0,29.0,36.0,70.0,800.0,27.0,2.2,1028.2,-16.8,0.0,SSW,3.1,Aotizhongxin,2013-03-02 11:00:00,Spring
37,2013,3,2,12,26.0,30.0,25.0,76.0,900.0,22.0,2.7,1027.3,-16.4,0.0,WSW,2.7,Aotizhongxin,2013-03-02 12:00:00,Spring
38,2013,3,2,13,25.0,33.0,20.0,57.0,700.0,39.0,3.3,1025.7,-16.4,0.0,W,1.5,Aotizhongxin,2013-03-02 13:00:00,Spring
39,2013,3,2,14,26.0,35.0,22.0,54.0,700.0,43.0,3.8,1024.8,-16.0,0.0,SE,1.3,Aotizhongxin,2013-03-02 14:00:00,Spring
40,2013,3,2,15,37.0,40.0,24.0,55.0,700.0,44.0,3.9,1024.1,-16.5,0.0,WNW,1.2,Aotizhongxin,2013-03-02 15:00:00,Spring
41,2013,3,2,16,37.0,46.0,29.0,63.0,1000.0,38.0,3.5,1023.6,-15.2,0.0,WSW,2.5,Aotizhongxin,2013-03-02 16:00:00,Spring
